[# ERROR | 2024-01-26 | 15:45:13.342 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:13.426 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:13.525 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:13.625 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:13.725 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:13.825 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:13.925 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:14.025 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:14.125 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:14.225 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:14.326 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:14.425 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:14.526 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:14.626 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:14.726 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:14.826 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:14.926 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:15.026 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:15.125 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:15.226 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:15.325 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:15.426 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:15.525 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:15.625 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:15.726 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:15.825 | PID=19460 | ThreadId=15048 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-01-26 | 15:45:15.831 | PID=19460 | ThreadId=4996 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-02-09 | 10:14:51.580 | PID=22480 | ThreadId= 480 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-02-09 | 10:14:51.606 | PID=22480 | ThreadId= 480 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-02-09 | 10:14:51.647 | PID=22480 | ThreadId=18136 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-02-09 | 10:14:51.723 | PID=22480 | ThreadId=12668 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-02-09 | 10:14:51.733 | PID=22480 | ThreadId=12668 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-02-09 | 10:37:24.659 | PID=18052 | ThreadId=19424 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
[# ERROR | 2024-02-09 | 10:37:24.667 | PID=18052 | ThreadId=19424 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Access is denied.] #]
